MathScore,PhysicsScore,ChemistryScore,EnglishScore,Interest,RecommendedMajor
95,90,85,70,Engineering,Mechanical Engineering
92,94,88,65,Technology,Computer Science
70,65,60,95,Arts,Literature
88,82,90,75,Science,Biochemistry
98,96,92,80,Technology,Software Engineering
65,60,55,92,Arts,Fine Arts
85,88,92,70,Science,Chemistry
90,92,85,75,Engineering,Civil Engineering
72,70,65,90,Arts,History
94,90,88,78,Technology,Data Science
80,85,95,70,Science,Biology
92,95,80,65,Engineering,Aerospace Engineering
60,55,50,98,Arts,Linguistics
89,84,82,88,Science,Environmental Science
96,92,85,72,Engineering,Electrical Engineering